X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y
20.23643249,67.52318482,35.76638451,68.45948341,74.94651616,89.63285143,78.27702594,116.8279223,122.9756213,DEB,842.5474409
10.55118226,57.67565543,51.52573253,49.89195149,113.0742963,81.22363805,74.53497889,92.06375275,114.1867792,AED,842.138909
14.06910481,33.11566702,60.01458691,48.41226274,88.81527795,128.651604,79.61657194,145.2310947,122.4736113,DAF,820.8047413
15.53782408,28.03260044,68.79701653,55.48205757,59.269249,103.6442829,77.76683114,135.1702971,145.0378623,ACV,962.5658371
10.79185753,46.42946316,48.37343532,41.87048737,101.3062535,119.6842987,75.92941018,103.4087703,140.3928913,DAF,758.0520221
20.18991763,45.54444422,60.12120831,44.43766107,115.5701375,107.8300834,77.87096942,97.24546331,138.1418497,ACV,899.8367026
13.82647852,24.07763087,64.20907897,65.83850489,120.1229677,93.03368036,72.74048389,80.63826457,128.7432537,AED,831.6783797
24.39818767,61.77846083,41.27511309,46.45654501,101.1465104,116.3538383,79.63670873,93.54723474,118.9327433,ACV,883.0640191
27.89431724,41.13584535,53.58008248,40.73472032,103.876791,124.3362034,78.2682533,159.696824,129.6213228,DAF,841.8630272
14.91104534,58.42584994,38.4669897,64.93824504,55.01743381,117.7841469,71.64507266,113.7632297,109.00429,AED,809.5075225
23.82674071,28.92859391,45.85024649,40.17473785,70.99957702,89.483217,71.05921237,136.9843951,112.8254562,DEB,793.2875264
24.50587876,52.69330055,47.24906995,66.01961517,100.5708094,116.7192046,73.41794724,128.9302361,101.7778131,DAF,688.3862141
29.9228238,32.16077322,40.27469869,42.19570217,70.62424952,113.4189973,76.97893571,91.58058911,112.5743101,ACV,830.3579025
18.41842789,53.24921232,48.23715852,57.5955498,117.1747683,110.8531527,73.65007264,120.3556678,112.0619742,AED,830.6115326
12.19469328,30.1620772,41.35225956,49.42401687,75.04382871,100.3689801,79.71689976,149.7197721,137.4680369,QWE,1048.499718
25.18537001,49.84938653,66.70769029,60.68890466,90.02851446,65.3958666,74.88449227,99.15478958,97.96177785,DEB,784.7025903
20.12129845,59.25426463,41.80025771,63.0631528,92.05036185,70.43336164,79.64967744,116.1472601,107.7140553,AED,921.5321748
26.93996741,26.22301663,59.34361844,45.63474228,81.39934208,76.23299149,78.41227993,115.1067097,148.4815688,QWE,1040.097808
22.50522969,54.68114174,50.86100489,49.26904597,81.64451368,125.8653931,72.01203201,168.9397011,135.4983517,DAF,815.5847572
17.19573853,52.07567948,45.23926157,51.44478798,90.30423602,61.17059751,74.9357156,167.4438572,107.1279137,ACV,909.0556475
24.96435918,42.1394445,38.3712417,67.15007712,51.34618277,81.24562486,79.99025882,103.5932117,140.9426713,OIF,998.2369539
22.11366297,60.30178538,55.21271022,50.88090571,110.8631028,61.85391842,74.46812952,113.4669113,118.6244403,QWE,913.6577425
12.55241373,31.1253433,52.4820636,51.63307347,113.3324964,102.3595612,78.61266685,145.9124754,126.1094069,OIF,971.5902371
15.75231204,59.1380234,40.05070313,42.25633335,127.0291663,97.80078436,77.73894298,127.6300527,126.6947838,ACV,883.2632824
10.67784501,29.33968397,56.98757582,57.11693794,62.68440272,126.6420488,71.54353633,125.9272925,98.6401725,DAF,673.8859119
24.34743452,33.8156507,35.365359,41.37961542,63.98684303,73.42591017,75.3697208,120.5934998,147.437662,QWE,988.0062619
29.08302674,59.82730552,56.86350536,65.35069275,125.1001463,61.58324102,71.18105227,112.4237496,95.61521118,DEB,749.8037877
21.99048946,33.01821112,40.57358917,48.64983966,57.81725261,111.8661117,76.5067243,134.5857282,92.04273494,AED,871.4589253
18.58928289,54.26017949,36.253866,51.56973534,51.58673164,65.7300598,72.1645358,117.3185145,117.7944022,DEB,785.6650344
27.69043063,35.83292211,30.85855505,64.7867004,54.94775483,66.50943949,79.63181717,147.8028876,110.2712522,QWE,996.7750715
12.64357683,39.33652866,43.56779571,66.23323604,83.50024139,65.74315042,79.26805202,136.0082027,97.00259141,ACV,890.3813497
12.2634832,43.29666206,33.68355863,58.95256577,99.31070329,62.2456944,78.07422781,150.8115285,144.9184961,QWE,1040.214283
23.40613293,54.64311162,36.54966618,40.71666442,55.24505219,127.5122938,76.45721366,165.2216,110.9630615,AED,932.4411637
25.10443153,23.26994827,36.64820662,48.31400005,94.02546014,99.01862161,74.98986452,118.2017226,124.5423096,ACV,834.5294573
